iter	Passed	Remaining
703	26464	11127
704	26497	11087
705	26538	11051
706	26576	11014
707	26612	10975
708	26651	10938
709	26699	10905
710	26738	10868
711	26776	10830
712	26810	10792
713	26848	10754
714	26889	10718
715	26927	10680
716	26963	10642
717	26999	10604
718	27034	10565
719	27069	10526
720	27105	10488
721	27150	10453
722	27195	10419
723	27241	10384
724	27279	10347
725	27325	10312
726	27359	10273
727	27389	10233
728	27426	10195
729	27463	10157
730	27502	10120
731	27550	10086
732	27600	10053
733	27658	10023
734	27716	9993
735	27827	9981
736	27940	9970
737	28000	9940
738	28077	9916
739	28142	9887
740	28206	9858
741	28270	9829
742	28312	9793
743	28358	9757
744	28396	9719
745	28443	9684
746	28480	9646
747	28521	9609
748	28557	9569
749	28589	9529
750	28621	9489
751	28663	9452
752	28701	9414
753	28733	9374
754	28771	9336
755	28806	9297
756	28843	9258
757	28883	9221
758	28916	9181
759	28953	9143
760	28995	9106
761	29031	9067
762	29068	9029
763	29103	8990
764	29139	8951
765	29182	8914
766	29215	8875
767	29250	8836
768	29281	8796
769	29318	8757
770	29348	8717
771	29380	8677
772	29417	8638
773	29447	8598
774	29478	8558
775	29513	8519
776	29549	8480
777	29581	8440
778	29620	8403
779	29655	8364
780	29692	8326
781	29725	8286
782	29757	8247
783	29792	8208
784	29827	8169
785	29862	8130
786	29901	8092
787	29940	8055
788	29980	8017
789	30018	7979
790	30069	7945
791	30113	7908
792	30151	7870
793	30191	7833
794	30225	7794
795	30265	7756
796	30305	7719
797	30338	7679
798	30374	7641
799	30409	7602
800	30442	7563
801	30474	7523
802	30509	7484
803	30544	7446
804	30580	7407
805	30614	7368
806	30650	7330
807	30684	7291
808	30724	7253
809	30757	7214
810	30793	7176
811	30832	7138
812	30868	7100
813	30907	7062
814	30940	7023
815	30975	6984
816	31011	6946
817	31056	6909
818	31092	6871
819	31123	6832
820	31159	6793
821	31198	6755
822	31240	6718
823	31281	6681
824	31317	6643
825	31355	6605
826	31389	6566
827	31428	6528
828	31470	6491
829	31514	6454
830	31564	6419
831	31608	6382
832	31654	6346
833	31703	6310
834	31744	6272
835	31780	6234
836	31820	6196
837	31868	6160
838	31912	6123
839	31959	6087
840	32005	6050
841	32053	6014
842	32102	5978
843	32149	5942
844	32192	5905
845	32236	5868
846	32286	5832
847	32324	5794
848	32359	5755
849	32398	5717
850	32430	5678
851	32459	5638
852	32493	5599
853	32523	5560
854	32554	5520
855	32596	5483
856	32630	5444
857	32666	5406
858	32699	5367
859	32734	5328
860	32765	5289
861	32799	5250
862	32838	5213
863	32872	5174
864	32902	5135
865	32938	5096
866	32973	5058
867	33004	5019
868	33041	4980
869	33075	4942
870	33112	4904
871	33151	4866
872	33190	4828
873	33234	4791
874	33271	4753
875	33302	4714
876	33337	4675
877	33371	4637
878	33403	4598
879	33437	4559
880	33477	4521
881	33511	4483
882	33542	4444
883	33577	4406
884	33613	4367
885	33649	4329
886	33685	4291
887	33724	4253
888	33755	4214
889	33788	4176
890	33826	4138
891	33861	4099
892	33898	4061
893	33933	4023
894	33970	3985
895	34009	3947
896	34048	3909
897	34085	3871
898	34120	3833
899	34157	3795
900	34194	3757
901	34229	3718
902	34268	3681
903	34303	3642
904	34336	3604
905	34372	3566
906	34410	3528
907	34447	3490
908	34488	3452
909	34521	3414
910	34558	3376
911	34594	3338
912	34636	3300
913	34676	3262
914	34719	3225
915	34755	3187
916	34790	3148
917	34835	3111
918	34876	3073
919	34912	3035
920	34951	2997
921	34992	2960
922	35030	2922
923	35070	2884
924	35109	2846
925	35143	2808
926	35186	2770
927	35227	2733
928	35261	2694
929	35300	2657
930	35334	2618
931	35368	2580
932	35403	2542
933	35438	2504
934	35471	2465
935	35503	2427
936	35539	2389
937	35582	2351
938	35622	2314
939	35660	2276
940	35703	2238
941	35741	2200
942	35777	2162
943	35822	2125
944	35863	2087
945	35903	2049
946	35947	2011
947	36004	1974
948	36053	1937
949	36088	1899
950	36130	1861
951	36171	1823
952	36215	1786
953	36253	1748
954	36289	1709
955	36320	1671
956	36357	1633
957	36393	1595
958	36427	1557
959	36466	1519
960	36497	1481
961	36536	1443
962	36577	1405
963	36622	1367
964	36663	1329
965	36705	1291
966	36743	1253
967	36773	1215
968	36810	1177
969	36845	1139
970	36879	1101
971	36915	1063
972	36951	1025
973	36987	987
974	37025	949
975	37059	911
976	37093	873
977	37132	835
978	37165	797
979	37207	759
980	37245	721
981	37275	683
982	37309	645
983	37342	607
984	37379	569
985	37409	531
986	37442	493
987	37481	455
988	37518	417
989	37558	379
990	37595	341
991	37630	303
992	37662	265
993	37700	227
994	37741	189
995	37778	151
996	37817	113
997	37856	75
998	37893	37
999	37937	0
